id,vendor_id,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_estimated,distance_m,wait_sec
0,Quito,25-08-16 12:40,-78.41132557,-0.309813701,-78.45528286,-0.287550606,N,678,7363.299869,38
1,Quito,17-12-16 5:29,-78.5125102,-0.22116546,-78.47872461,-0.196937949,N,750,6450.734909,210
2,Quito,16-03-17 5:36,-78.46756034,-0.163822823,-78.48352255,-0.094843916,N,1274,9445.014567,666
3,Quito,20-10-16 9:25,-78.47203839,-0.139989049,-78.49474658,-0.169194403,N,615,5772.51497,312
4,Quito,01-12-16 12:58,-78.4939097,-0.176008713,-78.50487559,-0.180504181,N,308,1719.218262,70
5,Quito,11-01-17 1:51,-78.49418927,-0.153840782,-78.46508066,-0.159088868,N,582,3820.278633,595
6,Quito,01-07-17 2:17,-78.45715657,-0.09576761,-78.49772612,-0.160567168,N,1251,11716.50398,277
7,Quito,01-04-17 12:16,-78.46165907,-0.096616817,-78.48579575,-0.176556378,N,1113,11572.74608,839
8,Quito,09-01-17 4:31,-78.50726145,-0.182552959,-78.48145858,-0.17675322,N,491,3514.035664,267
9,Quito,29-03-17 6:40,-78.48052153,-0.173560275,-78.47319734,-0.1685,N,146,1377.085439,91
10,Quito,02-02-17 6:24,-78.52088664,-0.250101552,-78.56775666,-0.301510064,N,1496,10928.02501,1372
11,Quito,31-07-17 7:08,-78.4949637,-0.2516837,-78.43613772,-0.19867614,N,1088,12435.25917,259
12,Quito,11-08-16 9:57,-78.47615316,-0.17894997,-78.4967468,-0.199635509,N,442,4590.024057,208
13,Quito,29-06-16 2:47,-78.51029149,-0.141159884,-78.46649565,-0.122124981,N,1180,6986.445737,306
14,Quito,06-09-16 10:33,-78.50045761,-0.197327725,-78.50920657,-0.185256638,N,343,2315.077281,151
15,Quito,27-12-16 11:41,-78.55727065,-0.28665232,-78.50859044,-0.221108893,N,1780,12701.02116,981
16,Quito,21-04-17 4:32,-78.48083614,-0.190921933,-78.47566204,-0.16238322,N,424,3748.690851,438
