id,vendor_id,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_estimated,distance_m
15657,Quito,01-12-16 10:28,-78.51175727,-0.197634996,-78.4994183,-0.199469581,N,260,1576.018785
15658,Quito,01-02-17 4:19,-78.49842583,-0.134412333,-78.4825348,-0.211699475,N,1152,10360.93434
15659,Quito,05-01-17 5:59,-78.5251152,-0.2379641,-78.52894593,-0.234163138,N,106,848.6022202
15660,Quito,15-10-16 8:27,-78.49550588,-0.186235998,-78.51066267,-0.189334438,N,336,2029.879987
15661,Quito,08-12-16 8:33,-78.50075274,-0.19188672,-78.49249776,-0.19961082,N,287,1776.787481
15662,Quito,23-02-17 9:51,-78.46427038,-0.127245971,-78.49470932,-0.11348,N,605,4915.353813
15663,Quito,14-12-16 6:21,-78.49917466,-0.137639584,-78.49046732,-0.103600331,N,745,4753.201104
15664,Quito,16-01-17 8:01,-78.4964489,-0.1331459,-78.48718231,-0.169827794,N,794,5109.236034
15665,Quito,08-05-17 8:46,-78.48058405,-0.198707144,-78.48561647,-0.176475478,N,439,3031.625527
15666,Quito,16-09-16 12:00,-78.55189968,-0.259176302,-78.53713321,-0.250045663,N,296,2657.219761
15667,Quito,03-10-16 9:20,-78.49335516,-0.185060933,-78.46298792,-0.16332219,N,500,5793.903277
15668,Quito,07-09-16 8:07,-78.46968556,-0.136556181,-78.49710338,-0.200595792,N,965,10169.59437
15669,Quito,30-06-17 7:51,-78.47035964,-0.130801013,-78.48283547,-0.170710719,N,764,5825.002281
15670,Quito,30-06-17 8:27,-78.47840963,-0.192965217,-78.48254427,-0.186297457,N,152,1201.169041
15671,Quito,13-07-17 10:05,-78.54763669,-0.261816533,-78.53727699,-0.249574556,N,255,2513.179573
15672,Quito,18-07-16 9:51,-78.50639579,-0.238725888,-78.52189204,-0.25246408,N,331,3250.706907
15673,Quito,01-05-17 10:13,-78.49117514,-0.1779383,-78.49812236,-0.17304672,N,104,1316.410772
15674,Quito,01-09-16 8:58,-78.45574778,-0.181019936,-78.49920819,-0.144146849,N,912,8932.652875
15675,Quito,28-12-16 2:16,-78.53558362,-0.260394136,-78.54293107,-0.26963341,N,174,1844.351236
15676,Quito,16-11-16 8:13,-78.4906479,-0.171765,-78.48281301,-0.146404848,N,360,3691.116441
15677,Quito,09-05-17 6:50,-78.5024104,-0.209945506,-78.496108,-0.19634666,N,312,2212.913392
15678,Quito,06-01-17 8:25,-78.49599834,-0.207796696,-78.48457752,-0.192609315,N,379,2958.688246
15679,Quito,25-06-16 12:28,-78.53246459,-0.250113893,-78.49563151,-0.208898385,N,900,8678.567966
15680,Quito,16-07-17 2:02,-78.49819829,-0.196899109,-78.45376495,-0.296837561,N,1222,16053.38146
15681,Quito,21-07-16 2:04,-78.49556614,-0.2088329,-78.50483662,-0.1804765,N,529,4183.911314
15682,Quito,17-01-17 3:38,-78.45919072,-0.162838997,-78.47750415,-0.185420735,N,549,4547.326656
15683,Quito,04-04-17 8:03,-78.47879638,-0.196629112,-78.48457912,-0.204383171,N,188,1505.220575
15684,Quito,13-06-17 5:57,-78.50321563,-0.155321023,-78.48120666,-0.192002266,N,826,6526.045148
15685,Quito,19-05-17 5:31,-78.49054965,-0.159852601,-78.47187849,-0.18770934,N,808,5173.658456
15686,Quito,20-04-17 5:09,-78.47658854,-0.106977897,-78.47664266,-0.122221381,N,116,1701.016599
15687,Quito,18-11-16 4:50,-78.4665034,-0.13724567,-78.49518532,-0.18487256,N,1012,8485.143376
15688,Quito,19-01-17 12:34,-78.55382072,-0.27623353,-78.55870333,-0.287299902,N,254,1773.4395
15689,Quito,24-01-17 5:10,-78.50332252,-0.214732986,-78.4833968,-0.210482175,N,358,2688.292332
15690,Quito,08-06-17 7:41,-78.5530549,-0.270113772,-78.528328,-0.24383734,N,575,5671.281433
15691,Quito,20-06-17 9:05,-78.495611,-0.1873057,-78.48574962,-0.1770166,N,230,2240.625286
15692,Quito,01-03-17 8:33,-78.46660248,-0.121670375,-78.48929128,-0.15808352,N,661,6571.830788
15693,Quito,13-02-17 2:34,-78.46345688,-0.122731017,-78.47051679,-0.166988267,N,726,5706.206787
15694,Quito,15-09-16 9:06,-78.50383512,-0.232012282,-78.419367,-0.219108465,N,961,10827.18865
15695,Quito,25-01-17 1:38,-78.48218168,-0.19413842,-78.48363137,-0.170142808,N,458,2829.387092
15696,Quito,12-01-17 6:26,-78.4761215,-0.09045838,-78.48838974,-0.175511676,N,1480,10821.65943
15697,Quito,25-07-17 8:50,-78.48348482,-0.150486288,-78.4730802,-0.15419794,N,281,1569.654004
15698,Quito Cabify Lite,20-06-17 7:49,-78.47339388,-0.158740897,-78.48751784,-0.178661461,N,533,3785.572294
15699,Quito,28-07-17 8:06,-78.48161971,-0.141232166,-78.48797656,-0.18899924,N,763,6018.303309
15700,Quito,14-11-16 5:40,-78.49757394,-0.213569434,-78.46007996,-0.31674976,N,1563,15642.24034
15701,Quito,22-04-17 11:59,-78.4615627,-0.10581726,-78.48907654,-0.156004098,N,1250,8639.916278
15702,Quito,20-09-16 7:56,-78.46509619,-0.14401589,-78.48472579,-0.199123304,N,980,8310.369733
15703,Quito,18-10-16 4:53,-78.5449933,-0.2643444,-78.54038318,-0.2585951,N,205,1151.909491
15704,Quito,06-05-17 4:52,-78.48573648,-0.1769999,-78.47493437,-0.137127357,N,562,5634.758492
15705,Quito,05-12-16 2:55,-78.49929217,-0.16988029,-78.48948834,-0.17235466,N,221,1365.268569
15706,Quito,28-06-17 6:28,-78.50063269,-0.158983169,-78.4972378,-0.214137186,N,808,6510.340153
15707,Quito,26-09-16 6:16,-78.48398025,-0.199757766,-78.50360566,-0.220068948,N,292,4440.732839
15708,Quito,15-11-16 12:24,-78.50504113,-0.180623987,-78.50505339,-0.204415933,N,346,2646.906445
15709,Quito,19-11-16 12:28,-78.51032437,-0.22291403,-78.49201989,-0.201526526,N,666,4413.532086
15710,Quito,12-10-16 1:56,-78.49710456,-0.126906829,-78.48389434,-0.19935908,N,1091,9525.228471
15711,Quito,14-07-17 11:20,-78.49551382,-0.115139599,-78.5120943,-0.14424202,N,749,5079.702957
15712,Quito,14-01-17 9:41,-78.55134002,-0.2696297,-78.5631477,-0.29771128,N,443,4435.468801
15713,Quito,10-03-17 9:34,-78.54674823,-0.306452042,-78.5489417,-0.26306444,N,723,5068.380233
15714,Quito,27-01-17 8:25,-78.45891064,-0.098009021,-78.47268848,-0.1012158,N,286,1888.600622
15715,Quito,17-07-16 12:37,-78.48654376,-0.109706091,-78.47460551,-0.107939325,N,267,1523.926068
15716,Quito,12-04-17 9:03,-78.47389448,-0.087399199,-78.48709696,-0.114185744,N,430,4446.575772
15717,Quito,20-07-17 7:56,-78.46750968,-0.13255649,-78.47489326,-0.18206554,N,701,6326.169702
15718,Quito,02-07-17 10:20,-78.4977867,-0.1420217,-78.49417016,-0.133423718,N,138,1358.191716
15719,Quito,14-12-16 1:01,-78.49486153,-0.150156901,-78.49291565,-0.196335604,N,768,5351.209003
15720,Quito,05-01-17 7:06,-78.51608945,-0.214724444,-78.50828966,-0.20279076,N,173,2194.255681
15721,Quito,22-10-16 10:12,-78.50383289,-0.183784783,-78.51090268,-0.195763,N,336,2118.038124
15722,Quito,01-12-16 8:28,-78.4860527,-0.2054227,-78.48531334,-0.174383473,N,584,3533.616982
15723,Quito,05-12-16 9:22,-78.46495862,-0.136816993,-78.48290582,-0.14302832,N,317,2686.300189
15724,Quito,03-07-17 8:17,-78.48802469,-0.173167019,-78.48767504,-0.12332716,N,715,5580.818062
15725,Quito,20-01-17 4:29,-78.48286217,-0.132482834,-78.48544388,-0.19588154,N,1160,7336.687112
15726,Quito,18-03-17 4:52,-78.46773024,-0.163735255,-78.4991946,-0.12364192,N,926,7956.838848
15727,Quito,15-07-16 10:40,-78.46776142,-0.124647269,-78.46628472,-0.14058338,N,289,1936.216328
15728,Quito,07-07-17 1:24,-78.48335793,-0.141853476,-78.49098864,-0.193364324,N,878,6576.237933
15729,Quito,23-12-16 4:03,-78.48299913,-0.133229093,-78.49062592,-0.10566036,N,693,3913.561705
15730,Quito,10-12-16 8:09,-78.45496807,-0.297181263,-78.42236864,-0.301158273,N,615,4067.066721
15731,Quito,31-08-16 5:23,-78.5408121,-0.2875684,-78.54159217,-0.286974147,N,24,152.8170604
15732,Quito,29-06-17 6:32,-78.50211323,-0.21195221,-78.50242437,-0.2132251,N,26,176.1355655
15733,Quito,02-12-16 1:22,-78.48251149,-0.186614685,-78.48492833,-0.172677833,N,310,1818.445977
15734,Quito,19-08-16 7:24,-78.53945494,-0.254634966,-78.51784516,-0.248268921,N,446,3110.746089
15735,Quito,18-01-17 3:14,-78.49690271,-0.138325905,-78.51068384,-0.220249605,N,1831,10641.88725
15736,Quito,17-07-16 12:40,-78.42117844,-0.096282522,-78.43209572,-0.077816865,N,516,3267.231319
15737,Quito,16-06-17 10:06,-78.53759282,-0.262761486,-78.55007756,-0.259527611,N,131,1747.815643
15738,Quito,19-05-17 3:54,-78.48052051,-0.149411492,-78.46659461,-0.138981855,N,432,2708.207112
15739,Quito,20-01-17 10:00,-78.46428508,-0.15622562,-78.47015643,-0.1679843,N,296,1960.367176
15740,Quito,09-08-16 7:31,-78.55896772,-0.2903821,-78.54970694,-0.2979207,N,202,1867.992602
15741,Quito,09-09-16 6:12,-78.51969922,-0.252976341,-78.55484474,-0.31653584,N,1011,10975.45898
15742,Quito,12-10-16 5:43,-78.52383169,-0.264015827,-78.52777968,-0.26883908,N,121,975.3132646
15743,Quito,27-04-17 6:32,-78.49525078,-0.185612327,-78.4782754,-0.161742776,N,587,4541.739307
15744,Quito,02-05-17 3:10,-78.47485009,-0.163424105,-78.4833213,-0.11604122,N,723,6210.688726
15745,Quito,12-01-17 2:59,-78.47089131,-0.136223,-78.50445728,-0.225651424,N,1516,13676.34161
15746,Quito,18-12-16 12:57,-78.54165934,-0.295815899,-78.53118263,-0.298950864,N,244,1513.533877
15747,Quito,06-09-16 1:46,-78.56666351,-0.307213459,-78.53394086,-0.244325501,N,1145,10631.36271
15748,Quito,24-01-17 8:20,-78.53747185,-0.255754337,-78.5266022,-0.236249448,N,545,3377.482921
15749,Quito,13-05-17 5:53,-78.47489174,-0.193716996,-78.46621158,-0.157054396,N,609,5041.879494
15750,Quito,18-05-17 4:39,-78.4985855,-0.198206983,-78.49255198,-0.144601,N,958,6631.606562
15751,Quito,28-07-17 12:51,-78.45878028,-0.103443953,-78.49339277,-0.137893707,N,933,7679.364721
15752,Quito,18-12-16 12:23,-78.4998064,-0.201979512,-78.50190288,-0.203628775,N,67,416.5058472
15753,Quito,13-07-17 7:47,-78.46149707,-0.129462782,-78.478452,-0.162016,N,601,5505.049549
15754,Quito,28-12-16 8:21,-78.48806742,-0.18149608,-78.48698114,-0.12545594,N,671,6352.167475
15755,Quito,08-06-17 6:32,-78.51268023,-0.181349939,-78.49247077,-0.192156851,N,427,3448.852392
15756,Quito,21-12-16 8:07,-78.52493598,-0.269167174,-78.49497037,-0.209105026,N,836,10010.59322
15757,Quito,13-01-17 6:32,-78.47913074,-0.17697184,-78.55141792,-0.26963022,N,2597,18341.0711
15758,Quito,16-08-16 5:32,-78.49284914,-0.164375052,-78.5561521,-0.292962646,N,2173,21337.2262
15759,Quito,04-06-17 2:29,-78.46025654,-0.096677702,-78.47450843,-0.115037204,N,371,3626.218698
